Class,Opal_520,Opal_570,Opal_620,Opal_690,Distance
520:690,0.2418,0.0012,0.0035,0.0679,4270.3037
520:570:690,0.4326,0.0068,0.0034,0.1164,4281.082
520:690,0.3783,0.0009,0.003,0.0407,4292.0479
520:620,0.6882,0,0.0679,0.0128,4326.2812
520:570:690,0.202,0.037,0.0039,0.0394,4298.186
520:690,0.4211,0.0016,0.0314,0.0791,4267.8857
520:690,0.3587,0.005,0.0149,0.1314,4274.0249
520:690,0.234,0.0015,0.0034,0.0649,4301.7085
520:620,0.4007,0,0.0315,0.0133,4339.4492
520:690,0.3853,0.0025,0.0032,0.0602,4260.7095
520:690,0.5489,0.0006,0.0024,0.0702,4304.9146
520:570:690,0.5072,0.0071,0.0029,0.1004,4285.0098
520:690,0.7737,0.0024,0.0028,0.079,4303.1328
520,0.1911,0.0001,0.0027,0.0228,4290.4453
520:690,0.5629,0.0011,0.0017,0.0467,4302.1289
520:690,0.6798,0.002,0.0028,0.1117,4288.5547
520:690,0.6566,0.0009,0.0023,0.0726,4301.7354
520:690,0.7741,0,0.0021,0.0468,4284.251
520:690,0.3663,0.0021,0.003,0.0537,4304.9731
520:690,0.7994,0,0.0028,0.0537,4278.2417
520:620:690,1.0235,0.0008,0.1367,0.0255,4268.0239
520:690,0.5275,0.0002,0.0028,0.0714,4239.6655
520:690,0.4952,0,0.0022,0.0636,4250.667
520:690,0.6477,0.0004,0.004,0.0927,4255.8774
520:570:690,0.586,0.0103,0.0019,0.0855,4247.123
520:690,0.1669,0.0006,0.0018,0.0398,4232.4717
520:690,0.5889,0.0026,0.0017,0.0557,4243.0039
520:690,0.1997,0.0001,0.0028,0.0269,4257.9087
520:690,0.5194,0,0.002,0.0339,4238.4375
520,0.2278,0.0001,0.0024,0.0187,4238.5459
520,0.2225,0.0001,0.0035,0.0188,4233.8198
520:620:690,1.5566,0.0005,0.2087,0.0346,4211.2974
520:690,0.3189,0.0016,0.0047,0.0354,4188.6846
520:690,0.5089,0.0001,0.0037,0.0377,4210.5024
