Class,Opal_520,Opal_570,Opal_620,Opal_690,Distance
520:690,0.3044,0.0076,0.0152,0.2031,2688.3713
520:690,0.4763,0.0128,0.022,0.3077,2977.5171
520:570:690,0.9177,0.0527,0.0187,0.3649,3202.5076
520:690,0.1434,0.0128,0.0247,0.1177,2826.6831
520:690,0.5016,0.0108,0.0186,0.3369,2844.4006
520:690,0.1247,0.0055,0.0115,0.0885,3100.7083
520:690,0.2207,0.0065,0.0178,0.1615,2911.7451
520:620:690,0.1845,0.0044,0.1814,0.1219,2868.4463
520:690,0.2376,0.0051,0.0162,0.2056,2835.2966
520:690,1.0924,0.0059,0.0225,0.2865,3212.9175
520:620,0.2616,0.0077,0.7884,0.0499,2674.0264
520:620:690,0.1968,0.0146,0.207,0.2088,2958.3618
520:690,0.5821,0.0098,0.0162,0.242,2724.7144
520:690,0.3155,0.0113,0.0704,0.1443,2679.6514
520:620:690,0.2214,0.0027,0.2168,0.0824,2863.5847
520:690,0.135,0.017,0.0379,0.0638,2800.7087
520:620,0.3231,0.0125,0.1086,0.0209,2525.7573
520:690,0.1398,0.0179,0.0121,0.083,3090.7507
520:690,0.1742,0.0055,0.0138,0.3088,2835.9062
520:690,0.1893,0.0204,0.0128,0.0618,2994.0464
520:620,0.2705,0.0135,0.6814,0.0429,2671.3967
520:690,0.4341,0.0111,0.0235,0.1645,2878.7744
520:690,0.2183,0.0059,0.0172,0.2354,2829.0193
520:620:690,0.1929,0.01,0.1922,0.1336,2781.0605
520:690,0.3376,0.0082,0.0136,0.2052,2843.5913
520:690,0.1717,0.0118,0.0138,0.0953,3001.1799
520:690,0.1254,0.0019,0.0109,0.0597,3049.9541
520:570:690,0.3152,0.0377,0.0213,0.1761,2800.2935
520:690,0.1922,0.0059,0.0154,0.1706,2978.1421
520:690,0.216,0.0157,0.021,0.2105,2955.9456
520:690,0.5011,0.0075,0.0168,0.2289,2963.0671
520:620,0.1691,0.0019,0.0564,0.0423,2987.0903
520:620,1.3337,0.0066,0.1551,0.0118,3167.3826
520:620,0.1407,0.0021,0.0387,0.0445,2513.4043
520:690,0.2122,0.0088,0.0274,0.1505,2963.3811
520:620,0.1955,0.0105,0.2618,0.0334,3150.6909
520:690,0.3185,0.0066,0.0168,0.1872,2949.0193
520:570:690,0.8085,0.0265,0.018,0.2021,2763.3569
520:620:690,0.22,0.0197,0.1266,0.1269,2876.1921
520:620,0.1253,0.0052,0.2216,0.0229,3102.283
520:690,0.3085,0.0096,0.0311,0.1424,2849.5598
520:690,0.2289,0.0093,0.0122,0.1214,2786.8359
520:570:690,0.3113,0.0962,0.0171,0.1497,2861.6135
520:690,0.1707,0.0065,0.0165,0.1063,2837.7822
520:690,0.2211,0.0141,0.0339,0.1519,2854.4368
520:690,0.6414,0.0133,0.0165,0.2306,2768.7473
520:690,0.1411,0.0039,0.0115,0.0638,2571.3887
520:620,1.1932,0.0025,0.3842,0.0218,3174.5388
520:570:690,0.2813,0.0332,0.014,0.1301,2548.9521
520:570:690,0.2835,0.0672,0.013,0.1205,2580.8772
520:620,0.1695,0.0056,0.0911,0.0488,3164.0391
520:690,0.1516,0.0015,0.0098,0.0848,2843.3572
520:690,0.3324,0.004,0.0098,0.0963,2539.0728
520:620:690,0.2498,0.0029,0.133,0.0552,3072.3518
520:690,0.2092,0.0032,0.0105,0.0703,2580.4607
520:690,0.1688,0.0099,0.0138,0.1493,2801.4985
520:690,0.3125,0.0056,0.015,0.1618,2755.2068
520:620:690,0.2872,0.0147,0.5073,0.1737,2764.4243
520:690,0.1435,0.0013,0.0162,0.067,2697.6611
520:620,0.1722,0.0084,0.2544,0.0214,2543.4473
520:620:690,0.3536,0.0016,0.0614,0.0526,2676.0955
520,0.6088,0.0002,0.0286,0.0134,2554.2773
520:620,1.5995,0.009,0.1139,0.0106,2437.8569
520:690,0.3365,0.0132,0.0154,0.1255,2561.0298
520:620,0.5936,0.0022,0.0951,0.0163,2463.5593
520,0.4558,0.0034,0.0228,0.0183,2455.1003
520:620:690,0.3601,0.011,0.4866,0.0675,2435.9678
520:620,0.5708,0.007,0.1152,0.0161,2519.7871
520:570:690,0.1705,0.0867,0.0239,0.0911,2495.0156
520:690,0.2631,0.0169,0.0234,0.1215,2476.6638
520,1.3447,0.0003,0.0404,0.0179,2324.6978
520:570:620:690,0.1738,0.0339,0.0499,0.0794,2483.0508
520:690,0.3156,0.0057,0.0219,0.068,2460.7683
520:690,1.0869,0.0136,0.02,0.2005,2439.9377
520:620:690,0.1487,0.0111,0.0577,0.1146,2462.8792
520:620,0.3035,0.0012,0.0507,0.0219,2356.1316
520:570:620:690,1.8377,0.1509,0.1072,0.1184,2449.2871
520:690,1.3351,0.0155,0.0227,0.4051,2438.7893
520:570:620:690,0.3086,0.0289,0.1688,0.0615,2427.4761
520:570:620,1.4385,0.0855,0.0398,0.0225,2292.9131
520:620:690,0.2867,0.0071,0.2254,0.0849,2261.0361
520:690,0.1567,0.0121,0.0139,0.0543,2251.1343
520:690,0.492,0.015,0.0153,0.2348,2326.9314
520:690,1.25,0.0164,0.0194,0.1367,2431.9341
520:620:690,0.2556,0.0164,0.0441,0.107,2449.7139
520:620,1.3817,0.0013,0.0621,0.0229,2288.2415
520:620,0.2533,0.001,0.0329,0.0132,2381.1755
520:690,0.2848,0.0144,0.0237,0.127,2338.4404
