Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Nucleus: Opal 570 mean,Nucleus: Opal 570 sum,Nucleus: Opal 570 std dev,Nucleus: Opal 570 max,Nucleus: Opal 570 min,Nucleus: Opal 570 range,Nucleus: Opal 620 mean,Nucleus: Opal 620 sum,Nucleus: Opal 620 std dev,Nucleus: Opal 620 max,Nucleus: Opal 620 min,Nucleus: Opal 620 range,Nucleus: Opal 690 mean,Nucleus: Opal 690 sum,Nucleus: Opal 690 std dev,Nucleus: Opal 690 max,Nucleus: Opal 690 min,Nucleus: Opal 690 range,Nucleus: Autofluorescence mean,Nucleus: Autofluorescence sum,Nucleus: Autofluorescence std dev,Nucleus: Autofluorescence max,Nucleus: Autofluorescence min,Nucleus: Autofluorescence range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cell: Opal 570 mean,Cell: Opal 570 std dev,Cell: Opal 570 max,Cell: Opal 570 min,Cell: Opal 620 mean,Cell: Opal 620 std dev,Cell: Opal 620 max,Cell: Opal 620 min,Cell: Opal 690 mean,Cell: Opal 690 std dev,Cell: Opal 690 max,Cell: Opal 690 min,Cell: Autofluorescence mean,Cell: Autofluorescence std dev,Cell: Autofluorescence max,Cell: Autofluorescence min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Cytoplasm: Opal 570 mean,Cytoplasm: Opal 570 std dev,Cytoplasm: Opal 570 max,Cytoplasm: Opal 570 min,Cytoplasm: Opal 620 mean,Cytoplasm: Opal 620 std dev,Cytoplasm: Opal 620 max,Cytoplasm: Opal 620 min,Cytoplasm: Opal 690 mean,Cytoplasm: Opal 690 std dev,Cytoplasm: Opal 690 max,Cytoplasm: Opal 690 min,Cytoplasm: Autofluorescence mean,Cytoplasm: Autofluorescence std dev,Cytoplasm: Autofluorescence max,Cytoplasm: Autofluorescence min,Nucleus/Cell area ratio,Distance to annotation with line µm
AMM12_4_Stitched.ome.tif,Ignore*: Opal 690,Ignore*: Opal 690,ECL,Polygon,3036.8,1125.9,15.5,15.1072,0.8534,5.5396,3.7802,0.751,2.1432,141.4518,0.5419,3.1435,1.1918,1.9518,0.0975,6.4366,0.0825,0.3735,0.0113,0.3623,0.0012,0.0782,0.0039,0.0243,0,0.0243,0.0104,0.6841,0.0051,0.0255,0.0007,0.0248,0.0347,2.2886,0.0329,0.1903,0.0125,0.1778,2.2286,147.0905,0.1175,2.5142,1.9779,0.5363,121,41.331,0.8901,14.5269,11.1053,0.6134,1.0211,0.5696,3.1435,0.2892,0.099,0.1207,0.9578,0,0.0063,0.0182,0.194,0,0.0188,0.0287,0.3674,0.0007,0.069,0.0735,0.3552,0.0097,2.3049,0.1432,2.8287,1.9039,0.8452,0.318,2.2917,0.2892,0.0992,0.1257,0.9578,0,0.0071,0.0194,0.194,0,0.0201,0.0306,0.3674,0.0011,0.0744,0.0766,0.3552,0.0097,2.3168,0.1433,2.8287,1.9039,0.1267,2844.0435
AMM12_4_Stitched.ome.tif,Ignore*: Opal 620,Ignore*: Opal 620,ECL,Polygon,2901,1129.6,74.25,36.1742,0.713,14.8083,7.024,0.8903,5.6935,1696.6558,1.6379,10.6642,2.1483,8.5159,0.0327,9.7523,0.0385,0.2075,0,0.2075,0.0109,3.2594,0.0222,0.2175,0,0.2175,1.2185,363.1042,0.7615,3.5042,0.0942,3.41,0.0685,20.4182,0.0739,0.4797,0.0037,0.476,3.1076,926.0639,1.0739,7.2658,1.5996,5.6661,291.5,64.4407,0.8821,24.6605,15.5564,0.7698,2.142,2.3281,10.6642,0,0.0426,0.0504,0.5327,0,0.0071,0.0317,0.5247,0,0.4384,0.6418,3.5042,0.0008,0.0476,0.0526,0.4797,0.0019,2.7831,0.8127,7.2658,1.5996,0.9283,0.7547,4.4476,0,0.046,0.0535,0.5327,0,0.0058,0.0343,0.5247,0,0.1718,0.2754,2.3184,0.0008,0.0405,0.0406,0.3596,0.0019,2.6722,0.6669,6.4804,1.9011,0.2557,2961.3379
AMM12_4_Stitched.ome.tif,Ignore*: Opal 620,Ignore*: Opal 620,ECL,Polygon,2979.1,1132.8,39.5,24.8186,0.8058,9.7874,5.7318,0.8199,8.9287,1446.4567,3.4995,17.0635,3.0448,14.0187,0.0349,5.6606,0.0482,0.412,0,0.412,0.0257,4.1612,0.0786,0.6671,0,0.6671,0.0928,15.0392,0.1006,0.5223,0.0028,0.5195,0.062,10.0363,0.0573,0.4006,0.0099,0.3907,2.301,372.7645,0.3736,4.5375,1.9193,2.6182,213.75,53.405,0.9418,18.3175,14.5,0.5614,2.5611,3.5295,17.0635,0.0921,0.07,0.1029,0.9138,0,0.0167,0.0978,1.428,0,0.0328,0.0544,0.5223,0.0001,0.0366,0.0422,0.4006,0.0047,2.2691,0.2892,5.4137,1.911,1.0768,0.9237,5.8786,0.0921,0.0781,0.1103,0.9138,0,0.0146,0.1017,1.428,0,0.0188,0.0161,0.1726,0.0001,0.0307,0.0353,0.3117,0.0047,2.2617,0.2655,5.4137,1.911,0.1839,2891.9011
AMM12_4_Stitched.ome.tif,Ignore*,Ignore*,ECL,Polygon,3045.1,1133.2,34,21.2362,0.9474,7.3535,5.8926,0.5687,9.2967,1320.1377,2.5513,14.3584,4.373,9.9854,0.0561,7.971,0.0551,0.3178,0,0.3178,0.0022,0.3061,0.0047,0.0257,0,0.0257,0.0116,1.6468,0.0057,0.0267,0,0.0267,0.0353,5.0132,0.0361,0.1878,0.0066,0.1811,2.7199,386.2198,0.6989,5.2943,1.9687,3.3256,177.75,48.9282,0.933,16.7824,13.0633,0.6284,2.6827,3.5952,14.3584,0,0.0472,0.08,1.1215,0,0.0028,0.0095,0.1097,0,0.0144,0.0109,0.1189,0,0.0399,0.058,0.4998,0.0045,2.469,0.5065,5.6299,1.878,1.0407,0.9763,6.282,0,0.045,0.0849,1.1215,0,0.0029,0.0103,0.1097,0,0.015,0.0118,0.1189,0.0004,0.041,0.0623,0.4998,0.0045,2.4068,0.4246,5.6299,1.878,0.189,2835.2463
AMM12_4_Stitched.ome.tif,Ignore*: Opal 520: Opal 690,Ignore*: Opal 520: Opal 690,ECL,Polygon,3005.2,1130.5,10.25,13.8298,0.6734,5.1682,2.9617,0.8612,1.9467,93.4416,0.5935,2.9784,0.8783,2.1001,0.704,33.7941,0.5005,1.7177,0.0386,1.679,0.0031,0.1499,0.0072,0.038,0,0.038,0.0186,0.8918,0.0108,0.0438,0.0008,0.043,0.3195,15.3382,0.1406,0.6476,0.0847,0.5629,3.7977,182.2902,0.564,5.6816,2.8757,2.8059,64.5,31.2514,0.8299,11.341,7.9485,0.7463,0.7189,0.7566,2.9784,0,0.5933,0.4082,2.0503,0,0.0107,0.0254,0.1972,0,0.0278,0.0392,0.3488,0,0.2936,0.1748,0.9779,0.0635,4.1894,1.3857,8.6445,2.4618,0.4422,0.4536,2.5352,0,0.5684,0.3813,2.0503,0,0.0124,0.0276,0.1972,0,0.0298,0.0429,0.3488,0,0.2877,0.1814,0.9779,0.0635,4.2776,1.4973,8.6445,2.4618,0.1662,2867.8188
AMM12_4_Stitched.ome.tif,Ignore*: Opal 520,Ignore*: Opal 520,ECL,Polygon,2951.4,1134.3,20.75,18.5957,0.7541,7.5883,3.7784,0.8876,4.9069,421.9918,1.4041,7.2221,2.1766,5.0455,1.6054,138.0659,0.6286,3.234,0.672,2.562,0.0066,0.5664,0.0275,0.1946,0,0.1946,0.0412,3.5442,0.0202,0.1004,0.0065,0.0939,0.0368,3.1628,0.0401,0.2425,0.0125,0.23,2.8855,248.1492,0.2671,3.4363,2.3734,1.0629,94.25,41.7918,0.6781,17.2546,7.9898,0.8925,2.1849,1.8613,7.2221,0.0117,0.8445,0.8031,3.234,0.0176,0.0068,0.0296,0.3584,0,0.032,0.0265,0.1769,0.0015,0.0269,0.0296,0.2932,0.0071,2.6914,0.4804,4.5034,1.9912,1.3914,1.053,6.2071,0.0117,0.6227,0.7076,3.0945,0.0176,0.0068,0.0302,0.3584,0,0.0293,0.0275,0.1769,0.0015,0.0241,0.0251,0.2932,0.0071,2.6349,0.5133,4.5034,1.9912,0.2122,2915.179
AMM12_4_Stitched.ome.tif,Ignore*: Opal 520: Opal 690,Ignore*: Opal 520: Opal 690,ECL,Polygon,3015.6,1137.1,90.5,40.165,0.705,13.7401,10.2598,0.598,2.4887,910.8652,0.5646,4.004,1.2781,2.7259,0.2268,83.0084,0.2331,1.5602,0.0012,1.559,0.0127,4.6522,0.0278,0.2147,0,0.2147,0.0162,5.9281,0.0094,0.0564,0.0002,0.0562,0.1442,52.7772,0.1243,0.7308,0.0296,0.7012,2.6373,965.2485,0.3995,4.6937,2.0199,2.6738,234.25,62.2831,0.7588,21.9042,16.4135,0.5457,1.4301,1.0169,4.004,0,0.2962,0.3511,2.232,0,0.0093,0.0212,0.2147,0,0.0159,0.0102,0.0942,0,0.188,0.1642,0.7623,0.0161,3.0144,1.1076,8.7869,2.0199,0.7587,0.5706,2.9314,0,0.3403,0.4026,2.232,0,0.0071,0.0154,0.1327,0,0.0157,0.0107,0.0942,0,0.2158,0.1798,0.7623,0.0161,3.2536,1.3257,8.7869,2.0207,0.3796,2859.8235
AMM12_4_Stitched.ome.tif,Ignore*: Opal 520: Opal 690,Ignore*: Opal 520: Opal 690,ECL,Polygon,2863.8,1136.3,31.75,20.3565,0.9628,7.2281,5.7994,0.5576,10.0735,1309.5577,2.6099,14.571,4.6577,9.9133,0.3669,47.6981,0.247,1.423,0,1.423,0.0039,0.5119,0.0086,0.0523,0,0.0523,0.0213,2.7666,0.0217,0.1531,0,0.1531,0.2581,33.5541,0.1769,0.9302,0.0761,0.854,3.5001,455.0103,1.3583,8.7723,2.2729,6.4994,159,47.3966,0.8894,16.8685,11.4613,0.7323,2.9986,3.886,14.571,0,0.5323,0.4359,2.9949,0,0.004,0.0097,0.0826,0,0.0165,0.0138,0.1531,0,0.1715,0.1647,0.9616,0,3.2698,1.8677,14.2623,2.0217,1.1917,1.075,7.4209,0,0.5745,0.4629,2.9949,0,0.004,0.0099,0.0826,0,0.0153,0.0107,0.076,0,0.1493,0.154,0.9616,0,3.211,1.9737,14.2623,2.0217,0.1945,2992.3601
AMM12_4_Stitched.ome.tif,Ignore*: Opal 520: Opal 690,Ignore*: Opal 520: Opal 690,ECL,Polygon,2888,1137.9,47.75,24.9018,0.9677,8.4853,7.0711,0.5378,7.9662,1537.4824,1.9402,12.0569,3.8382,8.2187,0.2672,51.5696,0.2061,0.9274,0.0002,0.9272,0.0009,0.1672,0.0028,0.0246,0,0.0246,0.0176,3.3952,0.0113,0.1039,0,0.1039,0.1442,27.8238,0.0984,0.3843,0.0342,0.3502,2.7854,537.5835,0.6406,6.0062,1.9498,4.0564,212.25,53.3542,0.937,17.7858,15.4809,0.3919,2.3509,3.2402,12.0569,0,0.2462,0.2316,1.3462,0,0.002,0.006,0.0504,0,0.0172,0.0147,0.1563,0,0.1193,0.1087,0.6954,0.0156,3.2933,1.7599,14.8826,1.8877,0.7013,0.6954,4.0935,0,0.24,0.2384,1.3462,0,0.0023,0.0066,0.0504,0,0.017,0.0156,0.1563,0,0.112,0.1106,0.6954,0.0156,3.4425,1.9468,14.8826,1.8877,0.2192,2969.6531
AMM12_4_Stitched.ome.tif,Ignore*: Opal 690,Ignore*: Opal 690,ECL,Polygon,2853.5,1137,32.25,20.3978,0.974,7.0719,5.7221,0.5999,10.5025,1365.3297,2.6319,14.5922,4.9267,9.6655,0.0413,5.3627,0.0374,0.193,0,0.193,0.0015,0.1903,0.0032,0.0207,0,0.0207,0.0125,1.62,0.0074,0.0369,0.0006,0.0363,0.0399,5.1846,0.031,0.1647,0.0113,0.1534,2.8326,368.2386,0.9139,7.1006,2.0285,5.0721,152.75,47.6428,0.8457,17.0343,10.7389,0.7526,2.9499,4.2472,14.5922,0,0.0689,0.0884,0.5508,0,0.0016,0.0032,0.0238,0,0.0116,0.0078,0.0417,0,0.0641,0.0725,0.4094,0,3.1642,1.7213,12.4179,1.9657,0.9129,1.2171,6.9132,0,0.0764,0.0964,0.5508,0,0.0016,0.0032,0.0238,0,0.0114,0.0079,0.0417,0,0.0706,0.0788,0.4094,0,3.2536,1.8713,12.4179,1.9657,0.2042,2998.7766
