Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Nucleus: Opal 570 mean,Nucleus: Opal 570 sum,Nucleus: Opal 570 std dev,Nucleus: Opal 570 max,Nucleus: Opal 570 min,Nucleus: Opal 570 range,Nucleus: Opal 620 mean,Nucleus: Opal 620 sum,Nucleus: Opal 620 std dev,Nucleus: Opal 620 max,Nucleus: Opal 620 min,Nucleus: Opal 620 range,Nucleus: Opal 690 mean,Nucleus: Opal 690 sum,Nucleus: Opal 690 std dev,Nucleus: Opal 690 max,Nucleus: Opal 690 min,Nucleus: Opal 690 range,Nucleus: Autofluorescence mean,Nucleus: Autofluorescence sum,Nucleus: Autofluorescence std dev,Nucleus: Autofluorescence max,Nucleus: Autofluorescence min,Nucleus: Autofluorescence range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cell: Opal 570 mean,Cell: Opal 570 std dev,Cell: Opal 570 max,Cell: Opal 570 min,Cell: Opal 620 mean,Cell: Opal 620 std dev,Cell: Opal 620 max,Cell: Opal 620 min,Cell: Opal 690 mean,Cell: Opal 690 std dev,Cell: Opal 690 max,Cell: Opal 690 min,Cell: Autofluorescence mean,Cell: Autofluorescence std dev,Cell: Autofluorescence max,Cell: Autofluorescence min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Cytoplasm: Opal 570 mean,Cytoplasm: Opal 570 std dev,Cytoplasm: Opal 570 max,Cytoplasm: Opal 570 min,Cytoplasm: Opal 620 mean,Cytoplasm: Opal 620 std dev,Cytoplasm: Opal 620 max,Cytoplasm: Opal 620 min,Cytoplasm: Opal 690 mean,Cytoplasm: Opal 690 std dev,Cytoplasm: Opal 690 max,Cytoplasm: Opal 690 min,Cytoplasm: Autofluorescence mean,Cytoplasm: Autofluorescence std dev,Cytoplasm: Autofluorescence max,Cytoplasm: Autofluorescence min,Nucleus/Cell area ratio,Distance to annotation with line µm
AMM20_5_Stitched.ome.tif,Ignore*,Ignore*,ER,Polygon,7546.4,4945.7,17.25,15.6632,0.8836,5.4729,4.4474,0.4967,2.0582,156.4224,0.6605,3.3822,0.8364,2.5457,0.0823,6.2566,0.0356,0.1642,0.0056,0.1586,0.0001,0.0076,0.0004,0.0025,0,0.0025,0.0023,0.173,0.0027,0.0129,0,0.0129,0.0106,0.8079,0.0045,0.0219,0.0015,0.0204,2.3161,176.0268,0.1256,2.6125,2.0369,0.5756,119,40.3578,0.9181,14.4852,10.2065,0.6662,0.535,0.7392,3.3822,0,0.0891,0.0488,0.3653,0.0035,0.0009,0.0073,0.108,0,0.0039,0.008,0.07,0,0.0126,0.0078,0.0875,0.0001,2.3648,0.1142,2.6733,2.0369,0.2464,0.2098,1.0616,0,0.0904,0.0508,0.3653,0.0035,0.001,0.008,0.108,0,0.0042,0.0086,0.07,0,0.0129,0.0082,0.0875,0.0001,2.374,0.1096,2.6733,2.07,0.1475,4278.605
AMM20_5_Stitched.ome.tif,Ignore*: Opal 520: Opal 690,Ignore*: Opal 520: Opal 690,ER,Polygon,7579,4946.1,57,33.8656,0.6245,12.5956,6.5225,0.8901,3.1793,743.9478,0.8642,5.7897,1.1159,4.6738,0.7057,165.1285,0.2417,1.3816,0.2475,1.1341,0.0005,0.1159,0.0033,0.0354,0,0.0354,0.0028,0.6439,0.0037,0.0275,0,0.0275,0.0934,21.8444,0.0641,0.3711,0.0193,0.3518,4.0679,951.8963,0.8023,6.6163,2.77,3.8463,175.25,54.6471,0.7375,20.5661,13.022,0.7926,1.3432,1.4865,5.7897,0,0.5489,0.3166,1.8775,0.0624,0.0006,0.0038,0.0507,0,0.0024,0.0031,0.0275,0,0.0702,0.0638,0.4565,0.0048,3.5737,1.1391,9.8037,2.1333,0.4272,0.6451,3.679,0,0.4707,0.3208,1.8775,0.0624,0.0006,0.004,0.0507,0,0.0023,0.0027,0.0196,0,0.0587,0.0606,0.4565,0.0048,3.3271,1.2012,9.8037,2.1333,0.3249,4304.9146
AMM20_5_Stitched.ome.tif,Ignore*: Opal 520: Opal 690: Opal 570,Ignore*: Opal 520: Opal 690: Opal 570,ER,Polygon,7556.6,4950.8,66.5,35.6151,0.6588,11.2071,8.8847,0.6077,3.9429,1048.7986,1.0598,6.4118,1.3737,5.0381,0.7623,202.7809,0.6886,5.5108,0.1205,5.3903,0.0113,3.0005,0.0602,0.6153,0,0.6153,0.0029,0.7736,0.0042,0.0336,0,0.0336,0.1221,32.4909,0.079,0.4575,0.0245,0.433,3.7285,991.794,1.0856,7.3202,2.3292,4.991,209.5,57.0577,0.8087,19.3781,14.8175,0.6962,1.4966,1.8282,6.4118,0,0.5072,0.564,5.5108,0,0.0071,0.0384,0.6153,0,0.0029,0.0043,0.0412,0,0.1004,0.0932,0.5805,0.0043,3.9056,2.4152,16.4171,2.1139,0.3688,0.5759,3.6311,0,0.3895,0.4505,3.0376,0,0.0052,0.0217,0.2208,0,0.0028,0.0043,0.0412,0,0.0904,0.0974,0.5805,0.0043,3.9872,2.822,16.4171,2.1139,0.3121,4285.0098
AMM20_5_Stitched.ome.tif,Ignore*,Ignore*,ER,Polygon,7595.6,4953.2,44.75,24.2631,0.9552,8.3366,6.8291,0.5186,8.2618,1478.8677,2.2424,12.4781,2.9278,9.5502,0.0941,16.8387,0.0367,0.2274,0.0209,0.2065,0.0033,0.5972,0.0174,0.1834,0,0.1834,0.0031,0.5525,0.0033,0.0164,0,0.0164,0.0255,4.5666,0.0305,0.2393,0.0052,0.2341,2.557,457.7,0.4338,5.2902,2.1333,3.1569,201,51.9174,0.9371,17.8822,14.9688,0.5023,2.2051,3.472,12.4781,0,0.0922,0.0496,0.4113,0,0.002,0.0144,0.2383,0,0.0032,0.0035,0.029,0,0.0177,0.0224,0.2562,0,2.8299,1.6184,12.518,1.9588,0.476,0.7669,4.5726,0,0.0916,0.0527,0.4113,0,0.0016,0.0135,0.2383,0,0.0033,0.0035,0.029,0,0.0155,0.0189,0.2562,0,2.9078,1.8131,12.518,1.9588,0.217,4316.8174
AMM20_5_Stitched.ome.tif,Ignore*: Opal 520: Opal 690,Ignore*: Opal 520: Opal 690,ER,Polygon,7578,4953.5,18.5,18.0077,0.7169,7.403,3.7326,0.8706,3.4384,264.7606,0.6608,4.6693,1.7473,2.922,1.0381,79.9306,1.073,5.5221,0.1902,5.332,0.0026,0.1975,0.0117,0.0837,0,0.0837,0.002,0.1563,0.002,0.0081,0,0.0081,0.0827,6.3671,0.0913,0.4962,0.0105,0.4856,3.2563,250.7326,0.6724,5.951,2.5363,3.4147,45.75,27.7205,0.7482,10.9212,5.6215,0.8516,2.078,1.3951,4.6693,0,0.7737,0.8758,5.5221,0.1609,0.0024,0.0118,0.1052,0,0.0028,0.0032,0.0205,0,0.079,0.0866,0.4962,0.0085,3.5038,1.3954,9.7931,2.388,1.1342,0.9013,2.9118,0,0.5903,0.6522,3.9215,0.1609,0.0023,0.0119,0.1052,0,0.0034,0.0037,0.0205,0,0.0764,0.0836,0.4344,0.0085,3.6755,1.7103,9.7931,2.388,0.3859,4303.1328
AMM20_5_Stitched.ome.tif,Ignore*: Opal 520,Ignore*: Opal 520,ER,Polygon,7567,4955.8,26.75,22.8864,0.6418,9.6525,3.6361,0.9267,5.0894,564.9255,2.0716,9.7629,1.6161,8.1468,0.1128,12.5189,0.0851,0.514,0.0102,0.5038,0.0001,0.0091,0.0004,0.0032,0,0.0032,0.004,0.4414,0.0054,0.0355,0,0.0355,0.0168,1.8683,0.0097,0.0555,0.0038,0.0516,2.4738,274.5959,0.2683,3.4233,2.0143,1.409,97.5,37.9558,0.8505,13.5402,10.3865,0.6967,1.8727,2.3578,9.7629,0,0.1911,0.1996,0.9725,0,0.0001,0.0006,0.0078,0,0.0027,0.0038,0.0355,0,0.0228,0.0232,0.177,0.0027,2.756,1.116,10.4769,1.915,0.6199,0.6712,3.5872,0,0.2217,0.222,0.9725,0,0.0001,0.0007,0.0078,0,0.0022,0.0029,0.0218,0,0.0251,0.0263,0.177,0.0027,2.8659,1.2888,10.4769,1.915,0.2718,4290.4453
AMM20_5_Stitched.ome.tif,Ignore*: Opal 520: Opal 690,Ignore*: Opal 520: Opal 690,ER,Polygon,7581.7,4959.7,60.5,33.969,0.6589,12.6706,7.3067,0.831,2.8334,699.8442,0.7527,4.6053,1.1877,3.4176,0.5684,140.4,0.415,2.7227,0.1139,2.6088,0.0025,0.6198,0.0111,0.1094,0,0.1094,0.0014,0.3559,0.0019,0.0087,0,0.0087,0.0473,11.6814,0.0453,0.31,0.0101,0.2999,2.752,679.7384,0.301,4.2864,2.3062,1.9801,147.75,51.8849,0.6897,18.5952,11.3684,0.8135,1.62,1.3264,4.6053,0,0.5629,0.5573,3.3396,0.0278,0.0011,0.0073,0.1094,0,0.0017,0.0024,0.0198,0,0.0467,0.048,0.398,0.0037,2.9772,0.8963,9.4531,2.2251,0.7589,0.9046,4.6021,0,0.5591,0.64,3.3396,0.0278,0.0001,0.0009,0.0159,0,0.0019,0.0027,0.0198,0,0.0463,0.0499,0.398,0.0037,3.1371,1.1176,9.4531,2.2251,0.4042,4302.1289
AMM20_5_Stitched.ome.tif,Ignore*: Opal 690,Ignore*: Opal 690,ER,Polygon,7558.9,4964.2,15.5,15.2705,0.8353,5.7609,3.6109,0.788,2.0361,134.3856,0.691,3.5686,0.8592,2.7094,0.1371,9.0506,0.0566,0.2787,0.0108,0.2679,0.0001,0.0084,0.0007,0.0052,0,0.0052,0.0026,0.1696,0.003,0.0129,0,0.0129,0.0356,2.3466,0.034,0.1674,0.0059,0.1615,2.7686,182.7282,0.4823,4.8295,2.2548,2.5747,88.5,35.1648,0.8994,11.6846,10.5288,0.3829,0.5823,0.7954,3.5686,0,0.1415,0.1025,0.5564,0.0108,0.0001,0.0008,0.0074,0,0.0022,0.003,0.0187,0,0.0304,0.0393,0.2096,0.0017,2.8156,1.0254,8.1135,2.1436,0.2548,0.2899,1.4404,0,0.1424,0.1103,0.5564,0.0214,0.0002,0.0008,0.0074,0,0.0021,0.003,0.0187,0,0.0292,0.0403,0.2096,0.0017,2.8262,1.112,8.1135,2.1436,0.1732,4281.7256
AMM20_5_Stitched.ome.tif,Ignore*: Opal 520: Opal 690,Ignore*: Opal 520: Opal 690,ER,Polygon,7570.9,4965.9,42.25,26.3499,0.7647,10.7711,5.4162,0.8799,2.9234,502.8255,0.7174,4.2941,1.2662,3.0279,0.7234,124.4182,0.3012,1.6402,0.2476,1.3926,0.0027,0.4723,0.0119,0.1041,0,0.1041,0.003,0.5147,0.0037,0.0196,0,0.0196,0.1272,21.8742,0.0695,0.3589,0.031,0.3279,2.8653,492.8341,0.2269,3.5865,2.3505,1.236,108.75,42.0847,0.7716,16.6249,10.0713,0.7931,1.5588,1.3883,4.2941,0,0.6798,0.3467,2.0913,0.0536,0.002,0.01,0.1041,0,0.0028,0.0037,0.02,0,0.1117,0.0789,0.457,0.0053,3.0402,0.6781,6.2056,2.1965,0.6798,0.9291,4.1132,0,0.6518,0.3709,2.0913,0.0536,0.0015,0.0085,0.0825,0,0.0026,0.0037,0.02,0,0.1018,0.083,0.457,0.0053,3.1528,0.8316,6.2056,2.1965,0.3815,4288.5547
AMM20_5_Stitched.ome.tif,Ignore*: Opal 520: Opal 690,Ignore*: Opal 520: Opal 690,ER,Polygon,7587.3,4968.7,70,31.1589,0.906,10.6964,8.9364,0.5095,4.8653,1362.2896,1.201,8.2585,2.0697,6.1888,0.7591,212.5393,0.4132,2.8069,0.2386,2.5683,0.0005,0.1351,0.0017,0.0132,0,0.0132,0.0024,0.678,0.0032,0.0184,0,0.0184,0.0945,26.4651,0.0669,0.4854,0.0189,0.4665,3.4156,956.3559,0.6178,5.3906,2.4944,2.8962,188.5,52.8571,0.8478,20.1657,12.6677,0.7856,2.1295,2.3116,8.2585,0,0.6566,0.51,3.0475,0.0312,0.0009,0.0059,0.0782,0,0.0023,0.003,0.0184,0,0.0726,0.0576,0.4854,0.0071,3.2843,1.1722,12.5773,2.1337,0.5236,0.8089,4.4901,0,0.5964,0.5506,3.0475,0.0312,0.0012,0.0073,0.0782,0,0.0022,0.0029,0.0123,0,0.0598,0.047,0.2607,0.0071,3.2073,1.3937,12.5773,2.1337,0.3655,4301.7354
