Class,Opal_520,Opal_570,Opal_620,Opal_690,Distance
520:620,1.5588,0.0026,0.1647,0.0145,6477.8354
520:570:620:690,0.1235,0.0341,0.046,0.1185,6464.46
520:690,0.2485,0.0137,0.0095,0.0927,6458.4399
520:570:690,0.1523,0.1179,0.0111,0.0993,6459.418
520:570:690,1.0703,0.0463,0.015,0.2635,6447.6382
520:570:690,0.5663,0.039,0.0123,0.1575,6447.9014
520:570:690,0.6875,0.065,0.017,0.2122,6440.125
520:570:690,0.4276,0.0686,0.013,0.1078,6431.5156
520:570:690,0.3441,0.0227,0.014,0.1818,6427.3804
520:690,0.5567,0.0065,0.0186,0.3542,6407.1978
520:570:690,0.7979,0.0437,0.0168,0.2516,6398.4443
520:570:690,0.4123,0.0478,0.0118,0.1315,6395.417
520:690,0.3104,0.0069,0.0133,0.114,6399.9204
520:570:690,1.1365,0.0239,0.0175,0.1553,6388.855
520:690,1.004,0.0094,0.0289,0.1451,6387.4351
520:570:620:690,1.8578,0.0365,0.1366,0.1365,6380.1616
520:690,0.7089,0.0192,0.0148,0.1304,6375.9482
520:570:690,0.2846,0.1332,0.0154,0.2091,6374.4297
520:570:690,0.6409,0.0262,0.0147,0.2434,6374.3452
520:690,0.8153,0.0035,0.017,0.2473,6376.5859
520:570:690,0.4159,0.0262,0.0167,0.1211,6376.9639
520:570:690,0.8374,0.0862,0.0262,0.2906,6367.8379
520:570:690,0.4144,0.0577,0.0167,0.0914,6357.5049
520:620:690,4.3725,0.0004,0.6396,0.0439,6357.7925
520:570:690,0.4215,0.0335,0.0187,0.0886,6354.4839
520:620,7.2319,0.0085,0.6607,0.0201,6344.8223
520:570:620:690,2.0094,0.1377,0.149,0.1769,6343.7603
520:690,0.3595,0.003,0.0139,0.0743,6340.6987
520:570,0.5626,0.0591,0.0438,0.0211,6334.3584
520:690,0.7589,0.0009,0.0113,0.204,6330.2466
520:690,0.5868,0.0104,0.0153,0.2172,6325.3354
520:570:690,0.2236,0.0421,0.0112,0.1308,6315.1968
520:690,0.9232,0.0192,0.0323,0.073,6318.4331
520:690,1.1755,0.0001,0.026,0.1583,6311.4487
520:570:690,0.4551,0.0486,0.0311,0.1212,6310.1431
520:620:690,0.3236,0.0034,0.2009,0.0435,6301.3813
520:620:690,1.9722,0.0131,0.076,0.1186,6288.562
520:570:690,0.3255,0.049,0.0123,0.083,6289.4043
520:620,0.1302,0.0055,0.0518,0.0119,6290.3247
520:570:690,0.3682,0.0597,0.0143,0.1197,6279.9048
520:690,0.1479,0.0042,0.0136,0.0357,6276.7383
520:690,0.3858,0.0119,0.0176,0.0903,6265.9912
520:570:690,0.8886,0.0532,0.0208,0.1721,6265.0415
520:620:690,2.2478,0.0042,0.1741,0.0648,6260.334
520:570:690,1.3294,0.0595,0.0151,0.2031,6251.0864
520:690,0.2616,0,0.0082,0.0755,6257.9136
520:570:690,0.7618,0.0332,0.0152,0.1307,6243.5601
520:690,0.3171,0.012,0.0103,0.095,6252.1777
520:690,0.3238,0.0027,0.0062,0.0985,6249.2871
520:690,0.7737,0.01,0.0092,0.2319,6246.5312
520:690,0.9945,0.006,0.0156,0.3664,6242.8296
520:570:690,1.3016,0.08,0.0235,0.3859,6239.1826
520:570:690,2.174,0.0651,0.0265,0.549,6238.4517
520:570:690,0.8062,0.0221,0.0168,0.2089,6242.7075
520:690,1.0179,0.0045,0.012,0.1568,6236.1226
520:570:690,1.3802,0.0312,0.0207,0.5137,6233.0679
520:690,1.5474,0.011,0.0194,0.5709,6232.5215
520:570:690,0.7137,0.0381,0.0139,0.2257,6226.8818
520:570:690,0.7767,0.0883,0.0182,0.2913,6230.7803
520:690,2.0522,0.0053,0.022,0.7249,6229.0361
520:570:690,1.0737,0.0688,0.0176,0.4698,6226.4575
520:570:690,0.7179,0.0377,0.0183,0.2625,6221.9385
520:690,0.4852,0.0121,0.0119,0.1366,6216.4849
520:570:690,0.433,0.081,0.0192,0.1341,6208.3052
520:690,0.2506,0.0064,0.0108,0.0743,6195.0024
520:570:690,0.1204,0.0241,0.1844,0.0456,6861.4502
520:690,0.4386,0.0176,0.1729,0.047,6860.6851
520:690,0.1897,0.0065,0.0161,0.0378,6860.7119
520:690,0.2021,0.0138,0.0133,0.1484,6853.1406
520,0.2756,0.0082,0.0114,0.0218,6855.1895
520:570:690,0.1385,0.071,0.0139,0.1357,6851.6572
520:690,0.4148,0.0133,0.0134,0.1795,6842.7417
520:570:690,0.1854,0.0917,0.0196,0.1297,6843.9023
520:690,0.1462,0.0159,0.0115,0.0996,6844.6016
520:620:690,0.4316,0.0013,0.0356,0.1473,6837.3115
520:570:690,0.154,0.0437,0.0129,0.1236,6840.0981
520:690,0.1822,0.0094,0.0255,0.0863,6837.7554
520:570,0.2212,0.0392,0.0165,0.0159,6837.978
520:570:620:690,6.2299,0.0321,0.3127,0.0461,6836.8076
520:570:690,0.1827,0.0279,0.0153,0.08,6831.1143
520:620:690,3.9959,0.0015,0.0869,0.0404,6832.186
520:690,0.3726,0.0011,0.0142,0.1259,6831.2759
520,0.3828,0.0002,0.0185,0.0114,6830.5942
520:690,0.2226,0.0074,0.0107,0.0888,6830.5225
520:570:690,0.3733,0.1152,0.0141,0.1409,6827.7827
520,0.2309,0,0.0126,0.0192,6831.0991
520:690,0.1843,0.0077,0.0099,0.0813,6827.1729
520:620:690,0.141,0.0007,0.04,0.0333,6829.5044
520:570:690,0.2254,0.0629,0.0109,0.0908,6823.8296
520:620:690,0.1891,0.0205,0.0471,0.1034,6826.5229
520:690,0.5893,0.0043,0.0102,0.0372,6826.9658
520:620,1.297,0.0002,0.0938,0.022,6825.9512
520:690,0.2381,0.0193,0.0139,0.1116,6825.6875
520:690,0.3107,0.0052,0.0111,0.0659,6819.9751
520:570:690,0.2374,0.0597,0.0125,0.0774,6815.0234
520:690,0.1852,0.0023,0.0089,0.0665,6818.5386
520:690,0.4092,0.011,0.0318,0.0664,6815.4556
520:690,0.8069,0.0122,0.016,0.2232,6811.9351
520:690,0.2225,0.0037,0.1224,0.0741,6804.0293
520:690,0.6888,0.0094,0.0362,0.1749,6802.3657
520:690,0.4492,0.0056,0.0266,0.0395,6805.7388
520:570:620:690,0.6936,0.0414,0.0523,0.0552,6801.2036
520:690,0.3305,0.02,0.012,0.0858,6797.7437
520:570:690,0.1714,0.0271,0.0147,0.0765,6799.2319
520:570:690,0.2942,0.0299,0.0106,0.0829,6788.8965
520:690,0.2192,0.0104,0.0124,0.0752,6783.1147
520:690,0.8355,0.0073,0.0151,0.1267,6775.1357
520:620:690,2.868,0.0056,0.2341,0.1566,6778.3115
520:570:690,0.6125,0.0435,0.0165,0.0479,6777.6836
520:690,0.2623,0.0034,0.012,0.0718,6777.4917
520:620:690,5.2252,0.0004,0.3348,0.0419,6776.3027
520:620:690,0.352,0.0003,0.0745,0.0352,6773.6807
520:620,0.3787,0.0003,0.0749,0.0201,6772.3154
520:620:690,0.2224,0.0017,0.5603,0.0435,6770.6294
520:690,0.1841,0.0004,0.0169,0.191,6767.5967
520:690,0.4886,0.0131,0.0175,0.0749,6767.8115
520:570:690,0.2314,0.1795,0.0189,0.2661,6763.356
520:690,0.1658,0.0047,0.0147,0.0787,6756.1338
520:690,0.2089,0.0186,0.0131,0.0953,6754.3438
520:690,0.8402,0.0062,0.0145,0.1367,6752.0303
520:690,0.6242,0.0027,0.0138,0.0417,6746.4609
520:620:690,0.2423,0.0042,0.0302,0.0365,6744.29
520:570:690,1.3181,0.0615,0.0194,0.2117,6742.8267
520:620:690,0.3289,0.0037,0.1177,0.1373,6736.9302
520:620:690,0.1944,0.004,0.0528,0.0489,6730.6592
520:570:690,0.1274,0.0303,0.0141,0.1857,6730.0503
520:690,0.2955,0.0135,0.0119,0.0766,6709.6436
520:690,0.1289,0.0007,0.0119,0.0485,6705.5342
520:690,0.3067,0.0025,0.0168,0.05,6699.6577
520:690,0.2535,0.0066,0.0153,0.1291,5520.0767
520:620:690,0.2034,0.001,0.043,0.1156,5511.1294
520:570:690,0.1869,0.0235,0.0097,0.0638,5483.4966
520:690,0.1547,0.0034,0.01,0.0716,5497.1333
520:570:690,0.7783,0.0297,0.0133,0.3137,5482.041
520:690,0.6503,0.0104,0.0202,0.3784,5468.2695
520:690,0.3055,0.0014,0.008,0.1439,5447.3843
520:570:690,0.4809,0.0212,0.0183,0.2856,5456.9634
520:690,0.1624,0,0.0084,0.1081,5452.8438
520:690,0.1632,0.0086,0.0128,0.0746,5444.3555
520:690,0.2252,0.0174,0.0109,0.1254,5448.4375
520:690,0.2927,0.0011,0.0139,0.2225,5413.6206
520:620:690,0.7781,0.0008,0.1,0.0373,5436.0117
520:570:690,0.1395,0.0258,0.0118,0.0561,5416.3389
520:570:690,0.3807,0.0618,0.0127,0.2927,5404.6108
520:570:690,0.4347,0.0324,0.0144,0.1601,5403.0908
520:620:690,0.2761,0.0006,0.0355,0.1536,5393.7861
520:570:690,0.4301,0.0275,0.0253,0.1314,5381.8604
520:570:690,0.5891,0.025,0.0182,0.3305,5382.3179
520:690,0.3254,0.0009,0.0165,0.1357,5386.0898
520:570:690,0.7075,0.0217,0.0472,0.1716,5363.9336
520:570:690,0.4339,0.0786,0.0189,0.2046,5364.2168
520:570:690,1.3808,0.0366,0.0261,0.5098,5352.2642
520:570:690,0.577,0.0665,0.0237,0.2162,5356.0981
520:620,0.6813,0.0019,0.0699,0.0086,5385.623
520:570:690,0.2744,0.0938,0.0142,0.1007,5356.5396
520:620,1.339,0.0001,0.1041,0.0067,5367.5703
520:620,2.9867,0,0.2689,0.0042,5362.7793
520:620,0.1798,0.0014,0.0845,0.0106,5321.5464
520:570:690,0.2888,0.0333,0.0195,0.2611,6061.377
520:690,0.4986,0.0183,0.0285,0.3098,6053.6138
520:690,0.4209,0.0048,0.0175,0.1218,6045.856
520:570:690,0.3041,0.0516,0.0179,0.1403,6036.7183
520:570:690,0.5536,0.0242,0.0148,0.1584,6033.5884
520:570:690,0.6102,0.0247,0.0147,0.2148,6028.1025
520:570:690,1.5718,0.0544,0.0316,0.1992,6024.7539
520:690,0.1222,0.0174,0.0123,0.0395,6019.4805
520:570:690,0.5651,0.0379,0.0165,0.1247,6017.7993
520:570:690,0.1883,0.0952,0.0152,0.0918,6010.6362
520:570:690,0.8183,0.023,0.0261,0.2326,6000.416
520:690,0.4926,0.0019,0.0211,0.2712,6004.3384
520:690,0.1288,0.0185,0.0143,0.1029,5990.4512
520:620:690,0.7416,0.0057,0.3741,0.0373,5985.0547
520:570:690,0.3465,0.0892,0.0351,0.0804,5975.71
520:570:620:690,0.1422,0.0651,0.3146,0.1845,5976.5171
520:570:690,0.5425,0.0962,0.0214,0.2741,5973.1143
520:570:690,0.707,0.0519,0.0147,0.1687,5962.4478
520:690,0.955,0.0127,0.0229,0.3216,5965.3452
520:690,0.6465,0.0127,0.0471,0.2679,5954.3613
520:570:620,3.1945,0.084,0.2897,0.0303,5949.8906
520:690,0.2266,0.009,0.0228,0.1157,5943.4614
520,0.1339,0.004,0.0158,0.0142,5938.8423
520:690,0.2135,0.0042,0.0135,0.1434,5942.0635
520:690,0.2627,0.0024,0.0098,0.1008,5939.1348
520:690,0.2047,0.0089,0.0177,0.0943,5930.1436
520:620,1.9487,0.0005,0.3743,0.0194,5910.874
520:570:620:690,2.2664,0.0336,0.4123,0.1827,5907.3877
520,0.1517,0.0017,0.0224,0.0163,5927.1245
520:570:620,0.3311,0.0878,0.0615,0.0268,5908.4976
520:570:690,0.3722,0.0344,0.0174,0.176,5913.3447
520:570:690,0.201,0.0814,0.0178,0.1031,5899.8931
520:570:690,0.2166,0.0257,0.0198,0.1006,5904.1899
520:620,2.4468,0.02,0.1142,0.0213,5889.499
520:620,1.8737,0.002,0.4579,0.0118,5894.542
520:690,0.2875,0.0048,0.0271,0.0648,5881.1909
520:620:690,0.1423,0.0096,0.1556,0.136,5881.4678
520:690,0.2384,0.0108,0.0139,0.1842,5877.7607
520:570:690,1.1071,0.0218,0.0221,0.4878,5874.5562
520:570:690,0.7645,0.0706,0.0151,0.2706,5869.7427
520:690,0.5457,0.0127,0.011,0.1313,5861.7446
520:690,0.7277,0.016,0.024,0.1815,5872.2905
520:570:690,1.1542,0.0653,0.0158,0.3799,5865.811
520:570:690,1.1588,0.1064,0.0147,0.2094,5866.1733
520:570:690,1.3441,0.1488,0.0178,0.3578,5860.978
520:570:690,0.4231,0.1229,0.0164,0.1425,5863.3887
520:570:690,0.2356,0.0327,0.0165,0.107,5865.1484
520:690,0.7228,0.011,0.0115,0.1236,5854.6328
520:620,4.724,0.0009,0.3227,0.0169,5846.4985
520:570:690,1.283,0.04,0.0187,0.3003,5854.1255
520,0.22,0.0035,0.0331,0.0218,5853.2388
520:570:690,0.3968,0.0302,0.0187,0.1767,5850.0249
520:620,4.2786,0.0003,0.3455,0.0059,5847.2524
520:690,0.5656,0.0071,0.0409,0.093,5859.1069
520:620:690,1.7603,0.0014,0.1823,0.0399,5854.0425
520:620,6.9051,0.0003,0.3703,0.0147,5845.2061
520:620,3.935,0.0011,0.4967,0.009,5841.8926
520:690,0.7813,0.0004,0.0237,0.1443,5852.0049
520:690,0.6183,0.0204,0.0158,0.3379,5844.2241
520:690,0.1716,0.0008,0.0128,0.1271,5835.3042
520:570:690,0.2668,0.028,0.0123,0.165,5832.9175
520:570:690,0.5173,0.0299,0.0171,0.1982,5822.9536
520:690,0.3103,0.0031,0.0299,0.1531,5816.3755
520:570:690,0.713,0.0762,0.0218,0.4073,5811.188
520:690,0.3636,0.0185,0.022,0.2372,5808.1997
520:690,0.5203,0.0066,0.0156,0.2769,5803.0298
520:570:690,0.6189,0.0341,0.0151,0.1734,5799.8301
520:570:690,0.1793,0.0704,0.011,0.0881,5797.9526
520:570:690,1.0492,0.0498,0.0192,0.414,5794.2212
520:570:690,0.3388,0.0804,0.0198,0.1207,5773.582
520:690,0.1202,0.002,0.022,0.0515,5768.1187
520:570:690,0.9013,0.0346,0.0203,0.2669,5786.1475
520:570:690,0.5481,0.0389,0.0225,0.3,5776.4868
520:690,0.3582,0.0023,0.019,0.0398,5782.6646
520:570:690,0.4606,0.0442,0.0379,0.1161,5787.7144
520:570:690,1.4905,0.1361,0.0262,0.7035,5775.7695
520:620,3.1997,0.0031,0.1566,0.0109,5760.7461
520:620,3.1162,0.0005,0.1445,0.007,5779.2627
520:570:690,1.349,0.0462,0.0253,0.6613,5765.9829
520:690,0.9785,0.0141,0.0318,0.2847,5758.0166
520:570:690,0.2528,0.0591,0.0186,0.0613,5771.2554
520:570:690,0.444,0.0509,0.0121,0.2059,5766.9043
520:570:690,0.3591,0.0273,0.015,0.185,5760.1968
520:690,0.2608,0.0118,0.0105,0.124,5762.3545
520:620,3.1932,0.0023,0.1107,0.0103,5735.8218
520:620,1.9684,0.0001,0.1786,0.0092,5731.8628
520:690,0.1496,0.0005,0.0096,0.0439,5738.7788
520:690,0.2299,0.0071,0.0127,0.0562,5737.853
520:570:620:690,0.8858,0.0771,0.0466,0.1156,5729.355
520:690,0.6303,0.0206,0.0151,0.1365,5722.0039
520:690,0.4847,0.0008,0.0192,0.082,5718.8516
520:620:690,2.7104,0.0008,0.149,0.0583,5713.7241
520:570:690,0.5692,0.0426,0.0135,0.142,5690.291
520:570:690,0.3983,0.0312,0.0153,0.1859,5692.999
520:690,0.2359,0.0115,0.0116,0.1485,5672.9019
520:690,0.5763,0.0138,0.0161,0.1647,5682.5601
520:690,0.8674,0.0095,0.0201,0.4262,5652.8584
520:620:690,0.2129,0.0139,0.161,0.224,5651.3013
520:570:690,0.6205,0.0536,0.0229,0.3478,5650.1177
520:690,0.7646,0.0164,0.0205,0.4375,5636.2925
520:690,0.5942,0.0192,0.0313,0.3737,5644.2456
520:690,0.4435,0.0041,0.0177,0.2812,5637.6719
520:570:690,0.1327,0.0385,0.0225,0.1082,5616.8457
520:690,0.2941,0.008,0.014,0.2026,5621.605
520:690,0.5896,0.0101,0.0195,0.3588,5623.7881
520:690,0.3811,0.0112,0.0163,0.211,5620.793
520:570:690,0.4096,0.038,0.0213,0.1783,5615.4453
520:620:690,0.137,0.0066,0.2468,0.0681,5609.4126
520:570:690,0.1827,0.025,0.0118,0.0356,5590.9829
520:620:690,0.7599,0.0095,0.5339,0.3092,5600.0093
520:570:690,0.4009,0.0461,0.0165,0.2152,5605.9292
520:570:690,0.3344,0.0518,0.0407,0.1418,5588.125
520:570:690,0.3649,0.0517,0.0125,0.1846,5602.7285
520:690,0.5108,0.011,0.0165,0.2239,5602.0225
520:570:690,0.7565,0.0663,0.0268,0.5982,5594.2407
520:570:690,0.6144,0.0449,0.0108,0.2433,5585.7803
520:690,0.775,0.0091,0.0191,0.2971,5573.1738
520:690,0.638,0.0079,0.0279,0.4143,5589.6743
520:690,1.2484,0.0142,0.0157,0.2001,5578.8789
520:570:690,0.9859,0.033,0.015,0.2565,5571.5366
520:690,0.8007,0.0046,0.0152,0.2099,5573.2031
520:570:690,0.5719,0.1347,0.0172,0.3321,5565.9443
520:570:690,0.914,0.038,0.014,0.2964,5575.251
520:570:690,1.2513,0.0397,0.0156,0.2724,5569.5034
520:690,0.5432,0.017,0.0126,0.1742,5566.6978
520:690,0.3757,0.0016,0.0268,0.2581,5582.2124
520:570:690,0.3857,0.0644,0.0144,0.2179,5575.9976
520:570:690,1.7104,0.027,0.0223,0.6315,5564.0791
520:690,0.4779,0.0054,0.0121,0.2455,5557.1724
520:690,0.3557,0.0068,0.0175,0.2686,5562.1724
520:690,0.1436,0.0024,0.0121,0.1174,5556.0767
520:570:690,0.1988,0.057,0.0128,0.0822,5550.6182
520:690,0.6698,0.0105,0.0181,0.3058,5544.4468
520:570:690,0.227,0.0373,0.0159,0.0547,5519.3047
520:570:690,0.4186,0.026,0.0143,0.1181,5536.5513
520:690,0.24,0.0085,0.011,0.0559,5511.1875
520:620,1.5406,0.0044,0.3174,0.0188,5519.6753
520:690,0.3314,0.0009,0.015,0.125,5501.6709
520:570:690,0.2428,0.0289,0.0118,0.1438,5505.0981
520:570:690,0.6507,0.0253,0.0165,0.3017,5494.6597
520:570:690,0.9349,0.0301,0.0204,0.4526,5492.2861
520:690,0.3509,0.0103,0.0113,0.1443,5482.6035
520:690,0.8034,0.0166,0.0207,0.4133,5489.7661
520:570:690,0.7905,0.0237,0.0162,0.3698,5456.355
520:570:690,0.5454,0.0286,0.0183,0.337,5448.0762
520:690,0.4771,0.0002,0.0155,0.2164,5430.3403
520:690,0.1948,0,0.0081,0.0455,5423.7974
520:570:690,0.46,0.0542,0.0132,0.2194,5387.7222
520:570:620:690,0.5254,0.3139,0.2517,0.1872,5371.4351
520:620:690,0.7217,0.0085,0.1553,0.4472,5357.3862
520:620,2.6369,0.0001,0.1467,0.0059,5327.8154
520:620,0.9942,0.0001,0.1016,0.0069,5309.6943
520:620,1.0515,0,0.0523,0.009,5331.9014
520:620:690,0.2686,0.0001,0.0833,0.0356,5309.6372
520:620,2.6506,0.0048,0.1545,0.0142,5299.0747
520:690,0.4358,0.0183,0.0134,0.0836,5291.0513
520:620,0.3987,0.0001,0.1242,0.0189,5297.1436
520:620:690,0.1516,0.0002,0.0812,0.1004,5279.3657
520:690,0.3372,0.0199,0.0173,0.1398,5255.9512
520:620,0.4402,0,0.0859,0.0056,5236.728
520:620,1.1673,0.0029,0.1842,0.0092,5226.1021
520:690,0.4182,0.0056,0.0158,0.2181,5255.5586
520:570:690,0.5122,0.0317,0.0101,0.1025,5248.1509
520:690,0.3001,0.0086,0.016,0.1556,5238.1089
520:690,0.7135,0.0009,0.0151,0.1531,5246.9961
520:690,0.1378,0.0003,0.0114,0.0589,5226.4116
520:570:690,0.4751,0.0314,0.0155,0.2648,5234.561
520:570:690,0.1417,0.0261,0.0119,0.1184,5229.8457
520:620:690,0.2887,0.012,0.0418,0.2359,5235.4702
520:570:690,0.6444,0.0346,0.0175,0.3868,5220.6733
520:690,0.8373,0.0076,0.02,0.3505,5218.8032
520:620,0.6353,0.0018,0.0727,0.0081,5235.7686
520:690,0.5737,0.0152,0.0215,0.2348,5218.4678
520:570:690,0.346,0.0213,0.0356,0.1868,5210.5713
520:620,0.6693,0.0002,0.0825,0.0071,5199.2705
520:570:690,0.3594,0.0259,0.0141,0.1096,5161.0835
520:620,2.3464,0.0004,0.2918,0.004,5169.3335
520,0.1469,0.0081,0.0105,0.0179,5143.5098
520:620:690,1.0869,0.0017,0.1674,0.0344,5162.6792
520:620:690,1.4072,0.004,0.0791,0.0526,5133.3569
520:570,0.2805,0.0253,0.0571,0.0129,5159.6685
520:570:620,0.6265,0.0352,0.1451,0.0172,5155.5698
520:570:690,0.5492,0.0503,0.0251,0.2317,5126.0752
520:570:690,0.5732,0.042,0.0186,0.2761,5118.0151
520:620:690,0.6513,0.0108,0.0287,0.1929,5112.9868
520:690,0.489,0.0035,0.021,0.2525,5101.001
520:620:690,1.9347,0.0026,0.3812,0.0773,5094.1572
520:620,0.9402,0.0006,0.1058,0.0081,5115.9941
520:620,0.1636,0.0001,0.1063,0.0202,5087.4854
520:620,0.2107,0.0037,0.0461,0.0082,5085.8521
520:570:690,0.1613,0.0246,0.0092,0.0714,5037.832
520:690,0.6042,0.0141,0.0184,0.2833,5029.8916
520:620,0.1402,0.0043,0.0559,0.0095,5018.3408
520:620:690,0.3773,0.0021,0.0328,0.113,5054.2725
520:690,0.5039,0.0079,0.0221,0.1873,5055.3643
520:570:690,0.8186,0.033,0.0223,0.2097,5049.4214
520:690,0.1965,0.0003,0.0142,0.1275,5027.7266
520:690,0.1998,0.0057,0.0136,0.0626,5030.3003
520:620,0.3084,0.0012,0.2179,0.0095,5025.1504
520:690,0.1852,0.0004,0.0145,0.0639,4982.6348
520:690,0.6072,0.0187,0.0164,0.2953,4966.0952
520:620:690,0.2788,0.0009,0.0324,0.1499,4938.8105
520:690,0.7065,0.0088,0.0098,0.2954,4963.0488
520:570:690,0.5867,0.0288,0.0142,0.2952,4942.7593
520:620:690,0.1612,0.0013,0.0701,0.1173,4944.6904
520:570:690,0.4018,0.0303,0.0137,0.0925,4942.8931
