Class,Opal_520,Opal_570,Opal_620,Opal_690,Distance
520,0.2151,0.0062,0.0105,0.0254,1985.2424
520:570:690,0.3118,0.0413,0.017,0.0665,1996.5933
520:620,0.2573,0.003,0.0686,0.0211,1997.9303
520:570:690,0.5905,0.0487,0.0142,0.1011,1976.1494
520:570,0.173,0.0218,0.0105,0.0319,1981.1906
520:570:690,0.5591,0.1194,0.0138,0.0817,1974.6821
520:570:690,0.7312,0.0576,0.017,0.1091,1978.2357
520:570:690,0.4379,0.0691,0.0163,0.0743,1964.2263
520:570,0.1646,0.0217,0.0223,0.029,6216.1597
520:570:690,0.4878,0.0212,0.0255,0.1089,6214.6035
520:570:620:690,0.1272,0.0297,0.243,0.1639,6205.4561
520:690,0.2721,0.0141,0.0163,0.1041,6198.292
520:690,0.1569,0.009,0.0105,0.0538,6190.6992
520:690,0.1548,0.0123,0.0239,0.0439,6187.6831
520:570:690,0.5783,0.025,0.0153,0.1007,6179.1313
520:570:690,0.856,0.025,0.0168,0.3384,6165.5195
520:690,0.6535,0.0022,0.016,0.3057,6167.3237
520:570:690,0.3229,0.0491,0.0133,0.1617,6157.5249
520:570:690,0.838,0.0231,0.0161,0.2378,6159.5693
520:690,0.6114,0.0056,0.0138,0.2451,6154.3179
520:620:690,0.5009,0.0061,0.0286,0.0728,6129.9102
520:690,0.5306,0.0011,0.0132,0.1898,6129.5796
520:690,0.5032,0.0129,0.0152,0.2078,6131.3618
520:570:690,0.3327,0.0661,0.0143,0.1339,6119.9155
520:570:620:690,0.9627,0.0568,0.0628,0.1684,6114.3799
520:690,0.1385,0.0005,0.0133,0.0405,6100.3696
520:620,0.7396,0.0001,0.1036,0.0144,6090.5439
520:570:690,0.691,0.0248,0.0173,0.3125,6092.561
520:570:690,1.2874,0.0267,0.0208,0.4954,6093.1367
520:690,0.4005,0.0057,0.0191,0.1545,6089.4561
520:690,0.9145,0.0039,0.0173,0.2257,6087.4854
520:570,0.1294,0.05,0.0171,0.0299,6080.7476
520:570:620:690,0.2026,0.0519,0.3967,0.0677,6084.6401
520:570:690,0.5373,0.0342,0.0298,0.1665,6084.5405
520:620:690,0.2868,0.0054,0.1809,0.083,6073.811
520:570:690,0.2428,0.0428,0.0152,0.0843,6075.3076
520:690,0.2724,0.0036,0.0117,0.0905,6061.4199
520:620:690,0.5423,0.0203,0.0849,0.275,6050.5112
520:690,0.1823,0.0097,0.0206,0.1295,6045.5586
520:690,1.2108,0.0008,0.0164,0.5004,6045.3369
520:570:690,0.7071,0.0231,0.0161,0.3028,6042.2539
520:690,0.3483,0.0186,0.013,0.0653,6720.6909
520:690,0.2559,0.0001,0.0203,0.0428,6719.0947
520:620,0.4271,0.0003,0.0677,0.0119,6717.9971
520:620:690,1.0498,0.0012,0.2738,0.0447,6708.7153
520:690,0.9393,0.0119,0.0156,0.1009,6700.6772
520:690,0.5526,0.0159,0.0109,0.0802,6693.0254
520:570:690,0.8837,0.0826,0.0172,0.2417,6689.3267
520:570:690,0.3385,0.0894,0.0117,0.1209,6682.6611
520:570:690,1.1419,0.0383,0.0138,0.2307,6673.0781
520:570:690,0.6619,0.0269,0.0183,0.2053,6668.8374
520:690,0.8715,0.0081,0.0149,0.1752,6666.2832
520:690,0.5273,0.0187,0.0173,0.1014,6664.4219
520:620,5.3845,0.001,0.3136,0.0078,6658.3472
520,0.2531,0.0187,0.016,0.0079,6652.7524
520:690,0.7509,0.0136,0.0113,0.0661,6647.5371
520:620:690,0.3001,0.0064,0.4281,0.054,6643.0024
520:570:690,0.5555,0.0212,0.0128,0.065,6647.6313
520:690,0.2681,0.0023,0.0121,0.0532,6642.7598
520:690,0.7325,0.0097,0.0165,0.1088,6637.519
520:690,0.8722,0.0196,0.0179,0.1824,6636.9678
520:570:690,0.3969,0.0702,0.0113,0.0415,6636.0127
520:570:620:690,0.2577,0.0472,0.0902,0.1338,6622.1909
520:690,0.4968,0.0069,0.0125,0.0334,6628.6714
520:570:690,1.0013,0.026,0.0171,0.1327,6626.8555
520:570:690,0.1523,0.0483,0.0425,0.0623,6621.3506
520:570:690,1.0194,0.0269,0.0206,0.2044,6615.4526
520:690,0.4111,0.0018,0.0208,0.0545,6611.9028
520:620:690,2.946,0.0122,0.485,0.1689,6610.9233
520:570:620:690,2.5694,0.0251,0.1893,0.1037,6603.0562
520:690,0.2352,0.0205,0.0152,0.0575,6604.1318
520:690,0.6217,0.0152,0.0187,0.256,6587.2661
520:570:690,0.449,0.0793,0.0187,0.2419,6586.6045
520:570:690,0.6885,0.0315,0.0167,0.1742,6582.0029
520:690,0.6458,0.0153,0.0129,0.1249,6571.3389
520:690,0.4921,0.0031,0.0115,0.1436,6572.6646
520:570:690,0.4457,0.0245,0.015,0.1121,6561.0684
520:570:690,0.4087,0.0916,0.0159,0.2459,6557.4351
520:620:690,0.1985,0.017,0.5179,0.0577,6538.4097
520:690,0.4376,0.0056,0.0155,0.0521,6528.4263
520:620:690,0.4503,0.002,0.0688,0.0405,6523.4458
520:690,0.708,0.007,0.0141,0.1589,6519.1548
520:690,0.3212,0.0139,0.014,0.1665,6521.6392
520:570:690,0.5343,0.0265,0.01,0.1017,6517.2349
520:690,0.157,0.02,0.016,0.089,6515.2881
520:690,0.2665,0.0031,0.0107,0.0941,6516.6714
520:620:690,0.3902,0.0019,0.0593,0.0852,6507.2705
520,0.1683,0.0063,0.016,0.0323,6501.688
520:690,0.3107,0.0011,0.0135,0.0666,6497.7314
520:690,0.2039,0.0111,0.0095,0.0792,6497.5845
520:570:690,0.2251,0.0226,0.0108,0.1011,6486.4478
520:620,0.5786,0.0006,0.4425,0.0087,6474.1187
520:620:690,0.3597,0.0065,0.2386,0.0526,6470.9321
