Class,Opal_520,Opal_570,Opal_620,Opal_690,Distance
*: Opal 520,0.1579,0.0001,0.0028,0.017,3884.573
*: Opal 520: Opal 690,0.4765,0.0034,0.0059,0.0721,3911.5825
*: Opal 520: Opal 570,0.3831,0.009,0.0245,0.0114,3868.605
*: Opal 520,0.8129,0.0001,0.0163,0.023,3925.437
Opal 620: Opal 520: *,0.9669,0.0001,0.1021,0.011,3932.0415
*: Opal 520,0.1582,0.0014,0.0033,0.0211,3848.3206
*: Opal 520,0.1528,0,0.0035,0.0191,3936.1475
*: Opal 520: Opal 690,0.3056,0.0008,0.0118,0.0236,3883.7419
*: Opal 520: Opal 690,0.3488,0.0002,0.0043,0.0273,3890.0857
*: Opal 520,0.3846,0.0006,0.0488,0.0124,3922.7656
Opal 620: Opal 520: *,1.2951,0.0005,0.2174,0.0093,3864.2275
Opal 620: Opal 520: *,0.1721,0.0035,0.3337,0.0132,3857.2559
Opal 620: Opal 520: *,0.176,0.0049,0.0422,0.0114,3851.9233
Opal 620: Opal 520: *,0.3449,0.0002,0.0423,0.0162,3844.5684
Opal 620: Opal 520: *,0.8101,0.0002,0.0738,0.0103,3867.7327
*: Opal 520,0.3716,0.0001,0.0094,0.0133,3860.8582
*: Opal 520: Opal 690,0.2099,0.0001,0.0024,0.0255,3817.7722
*: Opal 520: Opal 690,0.2014,0.0031,0.0019,0.0254,3754.8298
*: Opal 520: Opal 690: Opal 570,0.356,0.0162,0.0025,0.0429,3759.4099
*: Opal 520,0.2129,0,0.002,0.0109,3784.7856
Opal 620: Opal 520: Opal 690: *,0.1695,0.003,0.0943,0.0597,3752.2073
*: Opal 520,0.154,0,0.0023,0.0134,3789.4885
Opal 620: Opal 520: *,0.7602,0,0.0538,0.0079,3745.7502
*: Opal 520: Opal 690,0.1885,0.0036,0.002,0.0246,3708.4036
Opal 620: Opal 520: *,0.4243,0.0008,0.2931,0.0169,3655.0208
*: Opal 520: Opal 690,0.2283,0.0002,0.003,0.0271,3696.4534
Opal 620: Opal 520: *,0.7051,0.0001,0.0412,0.0093,3641.4902
*: Opal 520: Opal 690,0.3423,0.0002,0.0018,0.0337,3618.3645
*: Opal 520,0.244,0,0.0022,0.0219,3662.2996
*: Opal 520: Opal 690,0.2728,0,0.0053,0.0254,3652.6519
*: Opal 520: Opal 690,0.3865,0.0026,0.0031,0.0443,3641.2515
