Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Nucleus: Opal 570 mean,Nucleus: Opal 570 sum,Nucleus: Opal 570 std dev,Nucleus: Opal 570 max,Nucleus: Opal 570 min,Nucleus: Opal 570 range,Nucleus: Opal 620 mean,Nucleus: Opal 620 sum,Nucleus: Opal 620 std dev,Nucleus: Opal 620 max,Nucleus: Opal 620 min,Nucleus: Opal 620 range,Nucleus: Opal 690 mean,Nucleus: Opal 690 sum,Nucleus: Opal 690 std dev,Nucleus: Opal 690 max,Nucleus: Opal 690 min,Nucleus: Opal 690 range,Nucleus: Autofluorescence mean,Nucleus: Autofluorescence sum,Nucleus: Autofluorescence std dev,Nucleus: Autofluorescence max,Nucleus: Autofluorescence min,Nucleus: Autofluorescence range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cell: Opal 570 mean,Cell: Opal 570 std dev,Cell: Opal 570 max,Cell: Opal 570 min,Cell: Opal 620 mean,Cell: Opal 620 std dev,Cell: Opal 620 max,Cell: Opal 620 min,Cell: Opal 690 mean,Cell: Opal 690 std dev,Cell: Opal 690 max,Cell: Opal 690 min,Cell: Autofluorescence mean,Cell: Autofluorescence std dev,Cell: Autofluorescence max,Cell: Autofluorescence min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Cytoplasm: Opal 570 mean,Cytoplasm: Opal 570 std dev,Cytoplasm: Opal 570 max,Cytoplasm: Opal 570 min,Cytoplasm: Opal 620 mean,Cytoplasm: Opal 620 std dev,Cytoplasm: Opal 620 max,Cytoplasm: Opal 620 min,Cytoplasm: Opal 690 mean,Cytoplasm: Opal 690 std dev,Cytoplasm: Opal 690 max,Cytoplasm: Opal 690 min,Cytoplasm: Autofluorescence mean,Cytoplasm: Autofluorescence std dev,Cytoplasm: Autofluorescence max,Cytoplasm: Autofluorescence min,Nucleus/Cell area ratio,Distance to annotation with line µm
AMM12_5_Stitched.ome.tif,Ignore*: Opal 690,Ignore*: Opal 690,PathAnnotationObject,Polygon,1632.1,4328.8,16.5,22.866,0.3966,10.5336,2.5189,0.9714,4.6759,331.9861,1.1301,6.7169,2.7479,3.9691,0.0178,1.2666,0.0207,0.0872,0,0.0872,0.0107,0.7568,0.0198,0.1166,0,0.1166,0.053,3.7596,0.0686,0.2876,0.0008,0.2868,0.3038,21.5704,0.3005,1.2033,0.0079,1.1954,2.4367,173.0023,0.2739,3.3487,2.0449,1.3039,207.5,54.8582,0.8665,21.4404,12.2757,0.8237,2.3551,2.1003,8.0798,0,0.0216,0.0242,0.2081,0,0.0127,0.0665,0.8504,0,0.0397,0.061,0.3935,0,0.1155,0.154,1.2033,0.0018,2.379,0.3305,4.8588,1.852,2.1391,2.0388,8.0798,0,0.022,0.0244,0.2081,0,0.0129,0.0693,0.8504,0,0.0385,0.0601,0.3935,0,0.0979,0.1184,0.9324,0.0018,2.3736,0.3349,4.8588,1.852,0.0816,4814.8877
AMM12_5_Stitched.ome.tif,Ignore*: Opal 690,Ignore*: Opal 690,PathAnnotationObject,Polygon,1487.9,4799.1,10.5,13.4503,0.7293,5.6267,2.4309,0.889,8.5967,386.8509,2.0061,12.0201,4.9944,7.0256,0.021,0.946,0.0236,0.1024,0,0.1024,0.0015,0.0688,0.0042,0.0178,0,0.0178,0.0093,0.4179,0.0052,0.0212,0.0024,0.0188,0.031,1.3953,0.0376,0.1849,0.0048,0.1801,2.6464,119.0867,0.2978,3.4133,2.1728,1.2405,140.25,43.097,0.9489,14.616,12,0.5319,3.4082,3.8344,14.0496,0.1401,0.1022,0.1692,1.226,0,0.0032,0.016,0.2317,0,0.0154,0.0143,0.1136,0.0003,0.1054,0.141,0.6943,0.0009,2.3777,0.2866,4.1053,1.8925,2.9592,3.6194,14.0496,0.1401,0.1092,0.1745,1.226,0,0.0034,0.0167,0.2317,0,0.016,0.0147,0.1136,0.0003,0.1118,0.1447,0.6943,0.0009,2.3545,0.2738,4.1053,1.8925,0.0738,4489.4858
AMM12_5_Stitched.ome.tif,Opal 570: Ignore*,Opal 570: Ignore*,PathAnnotationObject,Polygon,1365.1,5820.2,15.25,16.1996,0.7302,6.8581,3,0.8722,8.5102,544.6543,1.9469,11.8952,4.3698,7.5255,0.0279,1.7846,0.0233,0.0909,0,0.0909,0.1787,11.4355,0.484,2.5093,0,2.5093,0.0097,0.6205,0.0109,0.0698,0.0007,0.0691,0.0199,1.2749,0.0172,0.0841,0.0002,0.0839,2.3131,148.0415,0.2393,3.0995,1.8789,1.2206,141,44.2495,0.9049,15.2286,12,0.5225,4.4265,4.6075,18.6849,0.2574,0.0235,0.0207,0.1114,0,0.0509,0.2257,2.5093,0,0.0109,0.0092,0.1193,0,0.0115,0.0106,0.0904,0.0002,2.2915,0.2251,3.7426,1.8789,3.9058,4.5894,18.6849,0.2574,0.023,0.0203,0.1114,0,0.0346,0.1602,2.1781,0,0.0111,0.0089,0.1193,0,0.0104,0.0089,0.0904,0.0003,2.2887,0.2233,3.7426,1.9077,0.1,3769.4802
AMM12_5_Stitched.ome.tif,Ignore*,Ignore*,PathAnnotationObject,Polygon,1241.6,6331.9,12,14.0432,0.7646,5.8111,2.6827,0.8664,9.1636,494.8363,2.2014,12.5981,5.1627,7.4353,0.0409,2.206,0.033,0.1459,0,0.1459,0.1224,6.6093,0.1962,0.8806,0,0.8806,0.0129,0.6963,0.0054,0.0231,0,0.0231,0.0017,0.0902,0.0018,0.0066,0,0.0066,2.6234,141.6656,0.6725,5.6237,2.0635,3.5602,126.75,41.4481,0.9271,14.3479,12,0.4191,3.9984,4.1576,13.2289,0,0.0368,0.0381,0.2466,0,0.0177,0.0786,0.8806,0,0.0097,0.0076,0.0529,0,0.0042,0.0076,0.0951,0,3.1281,1.6902,10.8342,2.0635,3.388,3.9034,13.2289,0,0.0363,0.0386,0.2466,0,0.0054,0.0314,0.3576,0,0.0093,0.0078,0.0529,0,0.0045,0.008,0.0951,0,3.1878,1.7632,10.8342,2.067,0.0884,3514.5149
AMM12_5_Stitched.ome.tif,Ignore*: Opal 620,Ignore*: Opal 620,Ei,Polygon,1730.1,6996.7,28,20.8292,0.811,7.5144,4.9498,0.7683,14.237,1623.0209,3.2775,19.5164,6.9584,12.558,0.0882,10.0566,0.0913,0.5278,0,0.5278,0.0038,0.4336,0.0105,0.0643,0,0.0643,0.442,50.3914,0.4154,2.5871,0.0189,2.5682,0.0475,5.4153,0.0372,0.1602,0.001,0.1592,2.4995,284.946,0.5463,5.149,1.9781,3.1709,200.5,51.0025,0.9686,17.2899,14.7956,0.4951,5.1175,5.499,21.0663,0.3345,0.1158,0.1746,1.2419,0,0.0033,0.0099,0.1147,0,0.4207,0.5281,2.8864,0.0003,0.0231,0.0299,0.2374,0,2.913,1.1823,8.9836,1.9644,3.6174,4.1847,21.0663,0.3345,0.1204,0.1843,1.2419,0,0.0033,0.0098,0.1147,0,0.4172,0.5445,2.8864,0.0003,0.019,0.0265,0.2374,0,2.981,1.2436,8.9836,1.9644,0.1366,2727.1497
AMM12_5_Stitched.ome.tif,Ignore*,Ignore*,Ei,Polygon,1789.2,7035.5,41.5,24.0412,0.9023,8.7391,5.9013,0.7207,9.1542,1574.5153,1.4685,11.5432,4.7057,6.8375,0.0086,1.4813,0.0142,0.0629,0,0.0629,0,0,0,0,0,0,0.0084,1.4493,0.0071,0.0482,0.0003,0.0479,0.0053,0.9088,0.0049,0.0346,0.0001,0.0344,2.0151,346.6006,0.142,2.3905,1.6807,0.7097,229.25,54.3347,0.9758,18.4319,15.8013,0.5071,3.7136,3.5723,11.5432,0.0038,0.0146,0.0185,0.1194,0,0,0.0003,0.0054,0,0.0088,0.0085,0.1019,0,0.0054,0.0042,0.0476,0,2.1349,0.1951,3.4187,1.6807,2.4659,2.616,11.534,0.0038,0.0159,0.0191,0.1194,0,0,0.0003,0.0054,0,0.0089,0.0088,0.1019,0,0.0054,0.0041,0.0476,0,2.1624,0.1953,3.4187,1.7897,0.1781,2656.3992
AMM12_5_Stitched.ome.tif,Ignore*: Opal 690: Opal 620,Ignore*: Opal 690: Opal 620,Ei,Polygon,1811.1,7048.2,13.75,13.5392,0.9426,4.8199,3.827,0.5119,2.7822,161.3685,0.6299,4.1681,1.7376,2.4304,0.0277,1.609,0.0133,0.0562,0,0.0562,0.0006,0.0352,0.0016,0.0074,0,0.0074,0.1127,6.5354,0.14,0.5197,0.002,0.5178,0.0439,2.5441,0.0353,0.1371,0.0032,0.134,2.2666,131.4605,0.1267,2.5739,2.0205,0.5534,153.25,44.3089,0.9809,14.5389,13.5,0.3228,1.6522,1.3202,7.701,0,0.0331,0.0484,0.6122,0,0.0049,0.0196,0.1756,0,0.0906,0.1513,0.8455,0.0007,0.0647,0.0972,0.5178,0.0003,2.4333,0.5969,5.8862,1.9115,1.5347,1.318,7.701,0,0.0337,0.0507,0.6122,0,0.0054,0.0205,0.1756,0,0.0883,0.1523,0.8455,0.0007,0.0669,0.1013,0.5178,0.0003,2.4506,0.6233,5.8862,1.9115,0.0866,2631.0942
AMM12_5_Stitched.ome.tif,Ignore*,Ignore*,Ei,Polygon,1867.2,7084.1,10.5,14.5782,0.6209,6.3702,2.4462,0.9135,4.5722,219.4672,1.0858,6.6037,2.7395,3.8642,0.0234,1.1254,0.0188,0.0782,0,0.0782,0,0,0,0,0,0,0.0093,0.4467,0.0076,0.0313,0,0.0313,0.0045,0.2176,0.0031,0.0115,0.0001,0.0114,2.2005,105.6242,0.0964,2.3824,1.968,0.4145,157.25,45.6662,0.9476,16.4897,12.1485,0.6591,2.1226,2.0427,7.7547,0.3902,0.0255,0.0267,0.2819,0,0.0022,0.0156,0.2463,0,0.0151,0.0321,0.6683,0,0.0055,0.0043,0.0372,0,2.1727,0.1376,2.7977,1.7092,1.9216,1.9715,7.7547,0.3902,0.0257,0.0273,0.2819,0,0.0024,0.0162,0.2463,0,0.0156,0.0333,0.6683,0.0001,0.0056,0.0044,0.0372,0,2.1704,0.1403,2.7977,1.7092,0.0678,2564.47
AMM12_5_Stitched.ome.tif,Ignore*,Ignore*,Ei,Polygon,1925.5,7128.8,22,19.3872,0.7355,7.8814,3.6056,0.8832,3.3103,314.4765,0.9106,5.3961,1.7224,3.6737,0.0269,2.5588,0.022,0.0926,0,0.0926,0.0001,0.0087,0.0005,0.0037,0,0.0037,0.0114,1.0799,0.0061,0.0303,0.0008,0.0295,0.0053,0.5041,0.0036,0.0192,0,0.0192,2.2851,217.0809,0.1985,3.519,2.014,1.505,191.25,50.328,0.9488,17.9273,13.4817,0.6429,1.1914,0.8979,5.3961,0,0.0201,0.0193,0.0967,0,0.0001,0.0008,0.0121,0,0.0122,0.0121,0.156,0,0.006,0.0084,0.0911,0,2.245,0.393,6.2075,1.7244,0.8928,0.2848,2.2873,0,0.0191,0.0187,0.0967,0,0.0001,0.0009,0.0121,0,0.0123,0.0127,0.156,0,0.0061,0.0089,0.0911,0,2.2394,0.4129,6.2075,1.7244,0.1141,2491.1804
AMM12_5_Stitched.ome.tif,Ignore*,Ignore*,Ei,Polygon,1980.4,7163.8,42.25,30.9701,0.5535,10.5555,7.2478,0.7468,8.8751,1606.4005,2.2678,12.9564,4.01,8.9465,0.0263,4.768,0.0275,0.2205,0,0.2205,0.0058,1.0561,0.0222,0.2001,0,0.2001,0.0466,8.441,0.0484,0.3463,0.004,0.3423,0.0032,0.5774,0.0022,0.011,0,0.011,2.1516,389.4462,0.1548,2.8591,1.8059,1.0533,210.25,56.3084,0.8333,19.798,14.8166,0.6422,4.5577,3.6977,12.9564,0.6335,0.0356,0.0278,0.2254,0,0.0018,0.0116,0.2001,0,0.0325,0.0401,0.3463,0.0008,0.0048,0.0044,0.0326,0,2.3317,0.3729,4.0861,1.7893,3.3809,3.0876,12.8763,0.6335,0.0381,0.0274,0.2254,0,0.0007,0.0057,0.1202,0,0.0286,0.0366,0.3133,0.0008,0.0053,0.0047,0.0326,0,2.3808,0.3991,4.0861,1.7893,0.2049,2425.9321
AMM12_5_Stitched.ome.tif,Opal 570: Ignore*,Opal 570: Ignore*,Ei,Polygon,2347.9,7412.1,50.25,26.988,0.867,9.6638,6.6194,0.7333,8.3084,1711.5277,1.9759,12.6073,3.9376,8.6698,0.0287,5.9216,0.0195,0.1043,0,0.1043,0.0787,16.2124,0.2161,1.6641,0,1.6641,0.0121,2.4957,0.009,0.06,0,0.06,0.0133,2.7485,0.0391,0.2872,0,0.2872,2.5325,521.6978,0.484,5.7155,1.9596,3.7559,202.5,52.9062,0.9091,17.7587,14.8918,0.4233,2.9641,3.358,12.6073,0,0.0327,0.0258,0.2906,0,0.0236,0.1157,1.6641,0,0.0105,0.0066,0.06,0,0.0063,0.0207,0.2872,0,2.8218,1.6055,13.5581,1.9596,1.1473,0.8726,5.3422,0,0.034,0.0275,0.2906,0,0.0048,0.0272,0.3995,0,0.01,0.0055,0.0328,0,0.0039,0.0057,0.0599,0,2.9202,1.8269,13.5581,1.9933,0.2486,1981.5039
